phenotype,variant,pm,pf,bm,bf,nm0,nm1,nm2,nf0,nf1,nf2,gene_symbol,gene_region,cms_score,IPA
hct_vena_mean,12_20588032,0.000360369917578501,0.523181637769651,-12.1221374045802,1.26666666666667,14,5,1,15,5,0,PDE3A,Intronic,7.78265,IPA
hct_vena_mean,12_20583372,0.000472941101742631,0.356275659689612,-14.9285714285714,1.96875,14,6,0,16,4,0,PDE3A,Intronic,7.78265,IPA
hct_vena_mean,10_79074996,0.000738023330506913,0.484184841947398,11.6641221374046,0.918128654970759,8,11,1,9,9,2,KCNMA1,Intronic,12.5072,IPA
hct_vena_mean,10_79077847,0.000738023330506913,0.484184841947398,11.6641221374046,0.918128654970759,8,11,1,9,9,2,KCNMA1,Intronic,12.5072,IPA
hct_vena_mean,20_41402907,0.000996472469827914,0.539812687349088,11.1223021582734,-0.787709497206709,10,9,1,11,7,2,PTPRT,Intronic,17.1105,IPA
hct_vena_mean,20_41403843,0.000996472469827914,0.539812687349088,11.1223021582734,-0.787709497206709,10,9,1,11,7,2,PTPRT,Intronic,17.1105,IPA
hct_vena_mean,20_41409901,0.000996472469827914,0.272698616728514,11.1223021582734,-1.38888888888889,10,9,1,12,6,2,PTPRT,Intronic,17.1105,IPA
hct_vena_mean,20_41463334,0.000996472469827914,0.605414508724955,11.1223021582734,-0.664804469273745,10,9,1,13,5,2,PTPRT,Intronic,17.1105,IPA
hct_vena_mean,8_106407392,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106407804,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106409193,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106414716,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106415088,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106415737,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106417989,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
hct_vena_mean,8_106418418,0.00112121613490217,0.264112492021732,-11.1617647058824,-1.65648854961832,9,10,1,5,13,2,ZFPM2,Intronic,11.4769,IPA
